svn_revision	git_commit	author_date	author	svn_url	svn_uuid
74	8d56ff3b5509057bfd5926ef216910e0828834ec	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/branch/0.9.20_buttons_rework	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	8f9e2a02c78c81b468a43d926f5bb5eba6e8105e	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	a55cc01bf88e0609afaed5380f702669b9aa0b9a	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/tags/ver0.9.20b	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	a852d2f9d48c33b93d34243ce9dc5466a8953ed9	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/branch/0.9.20_ticket20	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	af1732a43e18b743e221d4ac49fd42023bcbdd2b	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/tags/ver0.9.10	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	b70a627b5d6866279e45edd6704e66f9714fefe2	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/tags/ver0.9.11	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	de8112d47d479fef6ee0cbbd48321ee0e647f8d7	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/branch/0.9.20_kto_usr_fkt	595569ee-1d76-4581-98bb-cbe32a4b19d9
74	f717b99ab42f4d9dfb12731ac3835f09fecad3c6	2011-06-21T16:58:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/tags/ver0.9.09	595569ee-1d76-4581-98bb-cbe32a4b19d9
75	de3ae7d67fcce481c6725c776be5bd0fa9b73560	2011-10-06T11:27:22Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
76	e358200ec94c30b111903029f76b75ceddf4e12c	2011-10-08T10:29:54Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
77	435f64b86c2bb711e7e804dc76a7527f6ae2eb23	2011-10-08T10:39:39Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
78	77070fb63899862d4d5b6fa5d494b4d5ac7a3277	2011-10-08T10:54:42Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
79	b21c2148f41c5a30e59f40267fefad31bef6238b	2011-10-10T06:18:48Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
80	25ba7eb5065f527f3066d58f19a3ba897c84b9f8	2011-10-10T06:25:54Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
81	0d633c6ed96560fbb563a45728df2c47a99eae56	2011-10-10T19:46:51Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
82	b4f089624748bb06a3cc87258dcafba75afc9fb9	2011-10-10T19:55:12Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
83	d09fdc2afe8520e394f422d404b26f08173718aa	2011-10-10T20:35:05Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
84	74b69e4be8f2e782e9365edc3450836ef3d9b1a0	2011-10-10T20:35:48Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab_0.9/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
